"BehaviorSpace results (NetLogo 6.2.2)"
"JAN22_SEN1211_recyclingplastic_group5.tmp.nlogo"
"Yes_50% collection"
"01/22/2022 22:37:58:625 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-perc-singles","initial-num-collection-points","show-bottles?","fraction-of-collection","model-version","population","initial-perc-families","fraction-of-technology","total-budget","fraction-of-campaign","recycling-changing-ratio","initial-perc-couples","max-bottles","initial-num-recycling-companies","C-capacity","collection-changing-ratio","R-capacity","[step]","total-collection","total-recycle","rate-recycling"
"4","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"5","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"6","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"3","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"8","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"2","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"7","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"1","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","0","0","0","0"
"3","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"6","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"2","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"4","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"1","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"7","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"8","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"5","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","1","0","0","0"
"3","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"6","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"1","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"3","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","3","0","0","0"
"8","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"2","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"7","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"4","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"8","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","3","0","0","0"
"3","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","4","0","0","0.5785914739812488"
"1","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","3","0","0","0"
"5","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","2","0","0","0"
"2","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","3","0","0","0"
"6","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","3","0","0","0"
"7","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","3","0","0","0"
"8","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","4","0","0","1.1777042078135935"
"3","0.5","5","true","0.5","yes-policy","100","0.2","0.25","1000","0.25","1","0.3","10000000","2","1000","2","1000","5","0","0","0.5785914739812488"
